Contract Name,Service Receiver,Service Name,Origin Company Code,Origin Facility Code,Origin City,Origin State,Destination Company Code,Destination Facility Code,Destination City,Destination State,Vehicle Type,Charge Type,Charges,Charge Uom,Invoice From,Invoice To,Tax Applicable,When To Invoice,Billing Cycle Period,Start Date,End Date,Number Of Invoices In The Period,Payment Mode,Facility Category,Original Customer,Product Category,Profit Center,Business Area,Internal Order Number,Payment Terms,Shipx Error
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Ujjain,Madhya Pradesh,Container CMVR-18.75 MT,Freight charge,17695,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Kalyan,Maharashtra,Container CMVR-18.75 MT,Freight charge,11435,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Vasai,Maharashtra,Container CMVR-18.75 MT,Freight charge,11641,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Ahmednagar,Maharashtra,Container CMVR-18.75 MT,Freight charge,8614,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Aurangabad,Maharashtra,Container CMVR-18.75 MT,Freight charge,9258,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Baramati,Maharashtra,Container CMVR-18.75 MT,Freight charge,7769,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Jalgaon,Maharashtra,Container CMVR-18.75 MT,Freight charge,12139,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Kolhapur,Maharashtra,Container CMVR-18.75 MT,Freight charge,8107,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,LATUR,Maharashtra,Container CMVR-18.75 MT,Freight charge,8327,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Malegaon,Maharashtra,Container CMVR-18.75 MT,Freight charge,9847,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
